r_km,z_m,J_amp,J_coh
55.25,155.0,0.04275932419033701,0.9406005161217481
55.5,155.0,0.047067957416137673,0.8531028062606051
55.75,155.0,0.05158247623428702,0.9299448930828134
56.0,155.0,0.05627940328943837,0.7194466073653103
56.25,155.0,0.06113924619921485,0.8047792097518524
56.5,155.0,0.066147518678775,0.9165053611342724
56.75,155.0,0.0712925508849267,0.9140411355115022
57.0,155.0,0.07656161025662556,0.9339220635090916
57.25,155.0,0.08193783138933497,0.955141368520678
57.5,155.0,0.08739955042656611,0.7914796958994863
57.75,155.0,0.09292240451706979,0.901609514013556
58.0,155.0,0.09848341243100178,0.8473342131935961
58.25,155.0,0.10406489450502365,0.7436550907800508
58.5,155.0,0.10965557351960553,0.9384035322584326
58.75,155.0,0.11524798150761684,0.8361152394334669
59.0,155.0,0.12083406211373127,0.9014131583329626
59.25,155.0,0.1264017806402138,0.9148172985481877
59.5,155.0,0.13193445765283118,0.7690226423871278
59.75,155.0,0.1374130752248246,0.882924278296431
60.0,155.0,0.1428204678998336,0.9068140128431778
45.0,157.5,0.12889094381896815,0.9796948039943252
45.25,157.5,0.1229781756988132,0.22514668053991593
45.5,157.5,0.11698647946165097,0.9373926974788365
45.75,157.5,0.1109106582941265,0.9306067229591977
46.0,157.5,0.1047481011500051,0.8889357928109218
46.25,157.5,0.09851945366135062,0.9512134050017189
46.5,157.5,0.09227313047256169,0.9666245369983483
46.75,157.5,0.0860704504678872,0.9156904155647719
47.0,157.5,0.0799659658232138,0.9465093516437896
47.25,157.5,0.07399607257203211,0.5091435145433397
47.5,157.5,0.06817834159429181,0.8997268939139178
47.75,157.5,0.06251963547074202,0.9169323511022499
48.0,157.5,0.057029730797726,0.5404976424585886
48.25,157.5,0.051732872142039255,0.9570592561735703
48.5,157.5,0.04666833413795257,0.9166448584706931
48.75,157.5,0.04188004545114843,0.8668489027224447
49.0,157.5,0.03740445985053842,0.919195154230762
49.25,157.5,0.03326402229548031,0.943116752869952
49.5,157.5,0.029467479402860097,0.8707243999494358
49.75,157.5,0.026015549522541814,0.9297796138511801
50.0,157.5,0.022909312854627384,0.04840458891458954
50.25,157.5,0.020156705620714033,0.9476766682170569
50.5,157.5,0.017772843568718777,0.8943924566630844
50.75,157.5,0.015774857806465925,0.903970496254927
51.0,157.5,0.014175939858290909,0.9056742575141019
51.25,157.5,0.012982091829299214,0.8208619388161826
51.5,157.5,0.01219217583322929,0.8484918140367204
51.75,157.5,0.011800472166684894,0.9530560339857458
52.0,157.5,0.011800319462990538,0.5879718891675799
52.25,157.5,0.012186719271119473,0.9116841434817974
52.5,157.5,0.012956292514765155,0.8905279072159434
52.75,157.5,0.014105106296233405,0.5390797949947628
53.0,157.5,0.015626331371579316,0.9086263321844624
53.25,157.5,0.017509165345488298,0.8648279893389736
53.5,157.5,0.019739378581018263,0.8249337473438463
53.75,157.5,0.022301186088691693,0.9563572133933202
54.0,157.5,0.02517951183374889,0.755907768745392
54.25,157.5,0.02836113854180433,0.8620992913414973
54.5,157.5,0.03183378437882478,0.8983598271797608
54.75,157.5,0.035583787552542656,0.31667559019435987
55.0,157.5,0.039594047420941414,0.9248705259526628
55.25,157.5,0.043843461728452104,0.942817479817918
55.5,157.5,0.04830828577906199,0.8540434182923198
55.75,157.5,0.052965067189977955,0.9297444329666575
56.0,157.5,0.0577937711264086,0.719667338914024
56.25,157.5,0.06277900765331657,0.8047324458802698
56.5,157.5,0.0679082925257738,0.9167409641573718
56.75,157.5,0.0731685219133359,0.9115485521721218
57.0,157.5,0.07854296313371256,0.9347033374014423
57.25,157.5,0.08401039902223417,0.9549649757603089
57.5,157.5,0.08954688372240394,0.7916281927200388
57.75,157.5,0.09512943556874265,0.9010502963491586
58.0,157.5,0.10073973656975399,0.8487505954880348
58.25,157.5,0.10636538615523083,0.7435089731880851
58.5,157.5,0.11199775476812102,0.9384845450250575
58.75,157.5,0.11762800111826466,0.8311881220459357
59.0,157.5,0.12324384443395386,0.9014727113092826
59.25,157.5,0.12882880522732643,0.9137596727281209
59.5,157.5,0.1343642323526103,0.7728370731442527
59.75,157.5,0.1398331241725259,0.8822830707951788
60.0,157.5,0.14522354541821691,0.9065337377387885
45.0,160.0,0.12365000143023208,0.9789382193950534
45.25,160.0,0.11773922644268175,0.22024960620873624
