f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
201.0,53,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8351919980705197,0.6975456736410269,0.8419468311620646,0.035596866793113024,0.025078361336769904,0.009337789519361931,-0.008437785753433529,-0.024201841007796713,0.03540055427159327,False,False,1.7761283863602738e-14,4001
201.0,54,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8350656861883999,0.6973347002493032,0.8419468311620646,-0.021443112713477253,-0.004582431857963474,0.013293380116751402,0.02791636733079411,0.0354141290607583,0.07174518301727408,False,False,1.7341190355400984e-14,4001
201.0,55,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8349370728855244,0.6971199156786476,0.8419468311620646,0.0015952955381761578,-0.016308109925398925,-0.03009522774872892,-0.03595668920042715,-0.03193088004476029,0.3677199306986657,True,True,1.7715112447669958e-14,4001
201.0,56,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8348059696940086,0.696901007036754,0.8419468311620646,0.017514957267516694,0.031032648677184107,0.0361124137281653,0.030952571173402145,0.01665855829950455,0.5294621706202361,True,True,1.623513180140706e-14,4001
201.0,57,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8346723384159672,0.6966779125167789,0.8419468311620646,-0.030908929403981173,-0.03616316140985881,-0.030838850071990664,-0.01613734130648377,0.0036418241753797894,0.3861164034980129,True,True,1.719979479104975e-14,4001
201.0,58,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8345362320905598,0.6964507226719088,0.8419468311620646,-0.0361080584548136,-0.03161341097021452,-0.017209446407287166,0.002772805670887784,0.02177459310485263,0.12024186438329063,True,False,1.7000948044500174e-14,4001
201.0,59,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8343977460478071,0.6962195986096609,0.8419468311620646,0.033042198926104806,0.01972985814471754,-0.00017499204877271529,-0.019975928096891988,-0.03254641998582935,1.2432501856119291e-05,False,False,1.663224195682159e-14,4001
201.0,60,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8342569880013668,0.6959847220291127,0.8419468311620646,0.02338906328533613,0.0040692080710381775,-0.016664283554264657,-0.03119033806189191,-0.033775533905956986,0.11274445582113438,True,False,1.7038674737691368e-14,4001
201.0,61,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8341140631503181,0.6957462703451328,0.8419468311620646,-0.0097760269704554,0.011677478690529383,0.028646093090310156,0.03434543732629527,0.026153776215223967,0.33315988148403136,True,True,1.6884837254399024e-14,4001
201.0,62,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8339690681393259,0.6955044066131757,0.8419468311620646,0.004930361361952709,0.024441305579212907,0.03406843208666329,0.029548309177659927,0.012433387363282249,0.4712226904570067,True,True,1.7005940808232124e-14,4001
201.0,63,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8338220894505337,0.6952592768556539,0.8419468311620646,0.018157361480824502,0.03219337825429815,0.032502245198932724,0.01859427406573011,-0.003637347595025133,0.4288926717637566,True,True,1.679007121073849e-14,4001
201.0,64,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8336732037342142,0.6950110106244686,0.8419468311620646,0.02796324555378937,0.03407227455325909,0.024888751076616533,0.004268233104930049,-0.01832267235501032,0.25149427857532347,True,True,1.7605493519003423e-14,4001
201.0,65,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8335224788463397,0.6947597227421467,0.8419468311620646,0.03319559529139641,0.0302942011256141,0.013112241822986577,-0.010371264176668445,-0.028667348507479207,0.06980327535788122,False,False,1.7860695433244476e-14,4001
201.0,66,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8333699750397429,0.6945055152977416,0.8419468311620646,-0.03350382078620211,-0.021922744539419742,0.0004834705367775739,0.022595598060576105,0.03294425026616406,9.489906353042475e-05,False,False,1.786654057666524e-14,4001
201.0,67,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8332157460855463,0.6942484795248935,0.8419468311620646,0.029244969621229102,0.010568246681321796,-0.013546414961696037,-0.03042603423834093,-0.030781914124118785,0.07450246655535966,False,False,1.6954043260593275e-14,4001
201.0,68,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8330598402512762,0.6939886974394819,0.8419468311620646,0.021321728630378026,-0.0019255523240484147,-0.024077770991992403,-0.03284756828631266,-0.023025991536582944,0.23537181705724902,True,True,1.7530083055665512e-14,4001
