pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
C01,C,200.0,2,201;235,0.0,1.1118683272666554,1.1118683272666554,True,True,False
C01,C,200.0,2,201;283,0.0,1.4664268811375094,1.4664268811375094,True,True,False
C01,C,200.0,2,201;338,0.0,1.2722637300052697,1.2722637300052697,True,True,False
C01,C,200.0,2,235;283,0.0,0.9060031387396699,0.9060031387396699,True,True,False
C01,C,200.0,2,235;338,0.0,1.1465877159160014,1.1465877159160014,True,True,False
C01,C,200.0,2,283;338,0.0,1.361796960062847,1.361796960062847,True,True,False
C01,C,200.0,3,201;235;283,0.0,1.3893267335424588,1.3893267335424588,True,True,False
C01,C,200.0,3,201;235;338,0.0,1.1805785231927288,1.1805785231927288,True,True,False
C01,C,200.0,3,201;283;338,0.0,1.4385347108116588,1.4385347108116588,True,True,False
C01,C,200.0,3,235;283;338,0.0,1.2314930323887117,1.2314930323887117,True,True,False
C01,C,200.0,4,201;235;283;338,0.0,1.3801538215291802,1.3801538215291802,True,True,False
C01,C,220.0,1,201,0.0,1.1346841594558874,1.1346841594558874,True,True,False
C01,C,220.0,1,235,0.0,0.6043114002158639,0.6043114002158639,True,True,False
C01,C,220.0,1,283,0.0,1.1612535801896766,1.1612535801896766,True,True,False
C01,C,220.0,1,338,0.0,1.0636360348674632,1.0636360348674632,True,True,False
C01,C,220.0,2,201;235,0.0,1.0076527690664234,1.0076527690664234,True,True,False
C01,C,220.0,2,201;283,0.0,1.4710461328009263,1.4710461328009263,True,True,False
C01,C,220.0,2,201;338,0.0,1.2539918084421737,1.2539918084421737,True,True,False
C01,C,220.0,2,235;283,0.0,1.1808089913755488,1.1808089913755488,True,True,False
C01,C,220.0,2,235;338,0.0,1.1767427367292527,1.1767427367292527,True,True,False
C01,C,220.0,2,283;338,0.0,1.3475437260511343,1.3475437260511343,True,True,False
C01,C,220.0,3,201;235;283,0.0,1.2649679367775055,1.2649679367775055,True,True,False
C01,C,220.0,3,201;235;338,0.0,1.2983699024537154,1.2983699024537154,True,True,False
C01,C,220.0,3,201;283;338,0.0,1.381493767594123,1.381493767594123,True,True,False
C01,C,220.0,3,235;283;338,0.0,1.4089497115232605,1.4089497115232605,True,True,False
C01,C,220.0,4,201;235;283;338,0.0,1.3988385046176675,1.3988385046176675,True,True,False
C02,C,180.0,1,201,0.0,1.8200536540323855,1.8200536540323855,True,True,False
C02,C,180.0,1,235,0.0,1.0585085517576214,1.0585085517576214,True,True,False
C02,C,180.0,1,283,0.0,1.5354942860003367,1.5354942860003367,True,True,False
C02,C,180.0,1,338,0.0,2.814914774481351,2.814914774481351,True,True,False
C02,C,180.0,2,201;235,0.0,1.6195158838959027,1.6195158838959027,True,True,False
C02,C,180.0,2,201;283,0.0,2.0380763336080805,2.0380763336080805,True,True,False
C02,C,180.0,2,201;338,0.0,3.038605335058503,3.038605335058503,True,True,False
C02,C,180.0,2,235;283,0.0,1.6283008928224063,1.6283008928224063,True,True,False
C02,C,180.0,2,235;338,0.0,2.537511862341688,2.537511862341688,True,True,False
C02,C,180.0,2,283;338,0.0,2.7102678781829876,2.7102678781829876,True,True,False
C02,C,180.0,3,201;235;283,0.0,1.7727521576511789,1.7727521576511789,True,True,False
C02,C,180.0,3,201;235;338,0.0,2.5554213568607644,2.5554213568607644,True,True,False
C02,C,180.0,3,201;283;338,0.0,2.943515311718872,2.943515311718872,True,True,False
