case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs50.0_zr70.0,10,1.4460513154184915,-2.756096791023913,3.0192982317298998,4.0880596049494695,2.742216867009481
zs50.0_zr70.0,11,1.448727020584378,-3.2682897661266885,-2.492828610148353,4.110463778570809,2.7105737907029157
zs50.0_zr70.0,12,1.4505370564318896,-4.86328778868953,9.382670654127866,10.568163356016454,9.168273368148562
zs50.0_zr70.0,13,1.458091988664981,4.634370729130769,5.102457087978655,6.892928288448072,5.203662532943126
zs50.0_zr70.0,14,1.4639942794720837,1.5178414825237487,-7.4545171281738645,7.60747450737151,4.623647991381171
zs50.0_zr70.0,15,1.4658043153195952,-33.11292201879558,8.96538684990878,34.30515655103988,31.32133003504954
zs50.0_zr70.0,16,1.467693048377868,-0.01633074819260384,7.263761861392634,7.263780219166788,5.760920296755228
zs50.0_zr70.0,17,1.473201853131164,34.58690978365666,35.525962837253694,49.58173417597185,44.630983595941515
zs50.0_zr70.0,18,1.4748544945571527,-12.117381226373796,-8.772559657052817,14.959569870882879,13.886296403598179
zs50.0_zr70.0,19,1.4761136499293346,-9.255892375844915,-6.256683522983966,11.172181182741493,9.489103329329236
zs50.0_zr70.0,20,1.4773728053015165,-8.626611182866618,-5.323926740941266,10.137189770506858,8.4541119170946
zs50.0_zr70.0,21,1.479812418835119,-13.5061412245518,0.958606967646049,13.540117359017133,11.495424637516814
zs50.0_zr70.0,22,1.4810715742073008,-15.429306053951406,2.0143086411157056,15.5602353648065,13.316252650261212
zs50.0_zr70.0,23,1.4823307295794828,-22.637564848397062,3.89758339343855,22.970644278604603,20.726661564059313
zs50.0_zr70.0,24,1.4839833710054715,76.10339736707924,-34.65700018026518,83.62317114476384,74.04956053915447
zs50.0_zr70.0,25,1.4854786180099375,-0.2452515571872007,19.70380251530941,19.705328768853775,10.131718163244393
zs50.0_zr70.0,26,1.4869738650144035,-84.99689995002734,-26.050617877024365,88.89942459256807,82.59196347134566
zs50.0_zr70.0,27,1.4886265064403923,21.629517010115194,0.7857057074621906,21.643782930661665,18.501225683343222
zs50.0_zr70.0,28,1.4898856618125742,13.360840103896148,0.2729919445211518,13.363628731884653,12.700183974593415
zs50.0_zr70.0,29,1.491144817184756,9.773316564476605,0.17420529688849876,9.774869009605029,8.936061132982154
zs50.0_zr70.0,30,1.492403972556938,7.731381140516449,0.17114378615857434,7.733275149344819,6.894467272721945
zs50.0_zr70.0,31,1.49366312792912,6.403542309290342,0.19484737718263187,6.406506037401855,5.86402679245424
zs50.0_zr70.0,32,1.4949222833013018,5.466838572099249,0.22887889403911255,5.471627684841936,5.08543873768625
zs50.0_zr70.0,33,1.4961814386734837,4.770106251104836,0.2644251023814011,4.777429673119097,4.4525673084992965
zs50.0_zr70.0,34,1.4974405940456657,4.230218929697894,0.29806912646235356,4.240707181275833,3.9299702988495087
zs50.0_zr70.0,35,1.4986997494178476,3.799467622309639,0.3292577595689802,3.813707498644285,3.496501072589443
zs50.0_zr70.0,36,1.4999589047900295,3.446024840810123,0.3586703665749519,3.4646401884379627,3.1420953025802394
zs50.0_zr70.0,37,1.5012180601622114,3.1522418422198597,0.3850970109222085,3.1756776189756533,2.8489349695035284
